"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","top 3 (%)","fourth (%)"
"Mexico",1,1,0,1,1,0,0,3,2,1,1,76.4,9.2
"Canada",2,2,0,1,0,0,1,1,1,1,0,34.7,14.5
"Honduras",3,3,0,1,0,0,1,1,1,1,0,29.2,13.8
"Costa Rica",4,4,0,1,0,0,1,1,0,0,0,40.9,15.8
"El Salvador",5,5,0,1,0,0,1,1,0,0,0,15.1,11.3
"Panama",6,6,0,1,0,0,1,1,0,0,0,25.2,12.8
"United States",7,7,0,1,0,0,1,1,0,0,0,58.3,12.4
"Jamaica",8,8,0,1,0,1,0,0,1,2,-1,20.2,10.2
