"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","top 3 (%)","fourth (%)"
"Mexico",1,1,0,6,4,0,2,14,10,3,7,94.2,4.3
"United States",2,2,0,6,3,1,2,11,9,4,5,81.4,11
"Canada",3,4,1,6,2,0,4,10,10,4,6,58,18.9
"Panama",4,3,-1,6,2,2,2,8,6,6,0,27.6,21.2
"Costa Rica",5,5,0,6,1,2,3,6,4,5,-1,23.8,21.5
"Jamaica",6,8,2,6,1,3,2,5,4,8,-4,6.6,10.7
"El Salvador",7,6,-1,6,1,3,2,5,2,7,-5,5.4,6.2
"Honduras",8,7,-1,6,0,3,3,3,2,10,-8,3,6.2
