"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","top 3 (%)","fourth (%)"
"Canada",1,1,0,10,6,0,4,22,17,5,12,98.8,1.2
"United States",2,2,0,10,5,2,3,18,13,7,6,79.3,14.8
"Mexico",3,3,0,10,5,2,3,18,13,8,5,82.1,14.5
"Panama",4,4,0,10,5,3,2,17,14,12,2,32.4,47.4
"Costa Rica",5,5,0,10,3,3,4,13,7,7,0,7.3,21.2
"El Salvador",6,7,1,10,2,5,3,9,6,11,-5,0.1,0.8
"Jamaica",7,6,-1,10,1,5,4,7,9,15,-6,0,0.1
"Honduras",8,8,0,10,0,7,3,3,5,19,-14,0,0
