"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","top 3 (%)","fourth (%)"
"United States",1,2,1,7,4,1,2,14,11,4,7,91.6,6.1
"Mexico",2,1,-1,7,4,1,2,14,10,5,5,90.4,7
"Canada",3,3,0,7,3,0,4,13,11,4,7,72.1,17.9
"Panama",4,4,0,7,3,2,2,11,9,8,1,31.4,36
"Costa Rica",5,5,0,7,1,3,3,6,4,6,-2,7.5,16
"Jamaica",6,6,0,7,1,3,3,6,5,9,-4,3.6,8.3
"El Salvador",7,7,0,7,1,3,3,6,3,8,-5,2.4,6
"Honduras",8,8,0,7,0,4,3,3,4,13,-9,1,2.7
