"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","top 3 (%)","fourth (%)"
"Canada",1,1,0,11,7,0,4,25,19,5,14,100,0
"United States",2,2,0,11,6,2,3,21,16,7,9,86.4,11.3
"Mexico",3,3,0,11,6,2,3,21,14,8,6,93.7,5.8
"Panama",4,4,0,11,5,4,2,17,14,13,1,11.1,42.2
"Costa Rica",5,5,0,11,4,3,4,16,8,7,1,8.8,40.7
"El Salvador",6,6,0,11,2,6,3,9,6,13,-7,0,0
"Jamaica",7,7,0,11,1,6,4,7,9,16,-7,0,0
"Honduras",8,8,0,11,0,8,3,3,5,22,-17,0,0
