"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","top 3 (%)","fourth (%)"
"Mexico",1,1,0,2,2,0,0,6,3,1,2,85.7,6.3
"Panama",2,6,4,2,1,0,1,4,3,0,3,41.1,16.2
"Canada",3,2,-1,2,0,0,2,2,2,2,0,37.7,13.6
"Honduras",4,3,-1,2,0,0,2,2,1,1,0,25.9,12.6
"United States",5,7,2,2,0,0,2,2,1,1,0,53.8,14.9
"El Salvador",6,5,-1,2,0,0,2,2,0,0,0,12.5,10.8
"Costa Rica",7,4,-3,2,0,1,1,1,0,1,-1,30.7,17.3
"Jamaica",8,8,0,2,0,2,0,0,1,5,-4,12.6,8.3
