"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","top 3 (%)","fourth (%)"
"Canada",1,1,0,14,8,2,4,28,23,7,16,100,0
"Mexico",2,3,1,14,8,2,4,28,17,8,9,100,0
"United States",3,2,-1,14,7,3,4,25,21,10,11,100,0
"Costa Rica",4,4,0,14,7,3,4,25,13,8,5,0,100
"Panama",5,5,0,14,6,5,3,21,17,19,-2,0,0
"Jamaica",6,7,1,14,2,7,5,11,12,22,-10,0,0
"El Salvador",7,6,-1,14,2,8,4,10,8,18,-10,0,0
"Honduras",8,8,0,14,0,10,4,4,7,26,-19,0,0
