"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","top 3 (%)","fourth (%)"
"Canada",1,1,0,12,7,1,4,25,19,6,13,100,0
"United States",2,2,0,12,6,2,4,22,16,7,9,87,10.9
"Mexico",3,3,0,12,6,2,4,22,14,8,6,95.1,4.8
"Costa Rica",4,5,1,12,5,3,4,19,9,7,2,12.3,57.7
"Panama",5,4,-1,12,5,4,3,18,15,14,1,5.6,26.6
"El Salvador",6,6,0,12,2,6,4,10,7,14,-7,0,0
"Jamaica",7,7,0,12,1,6,5,8,10,17,-7,0,0
"Honduras",8,8,0,12,0,8,4,4,6,23,-17,0,0
