"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","top 3 (%)","fourth (%)"
"United States",1,3,2,4,2,0,2,8,7,2,5,81.5,8
"Mexico",2,1,-1,4,2,0,2,8,5,3,2,82.5,9.5
"Canada",3,2,-1,4,1,0,3,6,6,3,3,47.8,20.1
"Panama",4,4,0,4,1,1,2,5,4,2,2,27.8,16.6
"El Salvador",5,7,2,4,1,1,2,5,1,3,-2,14,12
"Costa Rica",6,5,-1,4,0,1,3,3,1,2,-1,25.9,14
"Honduras",7,6,-1,4,0,1,3,3,2,5,-3,14.1,11.9
"Jamaica",8,8,0,4,0,3,1,1,2,8,-6,6.4,7.9
