"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","top 3 (%)","fourth (%)"
"Mexico",1,2,1,5,3,0,2,11,8,3,5,90.8,5.7
"United States",2,1,-1,5,2,1,2,8,7,3,4,69.8,13.5
"Panama",3,4,1,5,2,1,2,8,5,2,3,39.4,19.2
"Canada",4,3,-1,5,1,0,4,7,6,3,3,44.1,17.9
"Costa Rica",5,6,1,5,1,1,3,6,3,3,0,35.6,18.1
"El Salvador",6,5,-1,5,1,2,2,5,2,5,-3,6.9,11.1
"Honduras",7,7,0,5,0,2,3,3,2,8,-6,7.4,8.4
"Jamaica",8,8,0,5,0,3,2,2,2,8,-6,6,6.1
