"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","top 3 (%)","fourth (%)"
"Canada",1,3,2,8,4,0,4,16,13,5,8,85,10.9
"United States",2,1,-1,8,4,1,3,15,12,5,7,84,12.4
"Mexico",3,2,-1,8,4,2,2,14,11,7,4,76.9,16.9
"Panama",4,4,0,8,4,2,2,14,11,9,2,42.8,33.6
"Costa Rica",5,5,0,8,2,3,3,9,6,7,-1,9.4,17.8
"Jamaica",6,6,0,8,1,3,4,7,6,10,-4,1.5,6.2
"El Salvador",7,7,0,8,1,4,3,6,4,10,-6,0.3,1.6
"Honduras",8,8,0,8,0,5,3,3,5,15,-10,0.1,0.6
