"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","top 3 (%)","fourth (%)"
"Canada",1,1,0,13,8,1,4,28,23,6,17,100,0
"United States",2,2,0,13,7,2,4,25,21,8,13,100,0
"Mexico",3,3,0,13,7,2,4,25,15,8,7,100,0
"Costa Rica",4,4,0,13,6,3,4,22,11,8,3,0,100
"Panama",5,5,0,13,5,5,3,18,16,19,-3,0,0
"El Salvador",6,6,0,13,2,7,4,10,8,16,-8,0,0
"Jamaica",7,7,0,13,1,7,5,8,10,21,-11,0,0
"Honduras",8,8,0,13,0,9,4,4,6,24,-18,0,0
