"Team","Pos","Prev","Change","GP","W","L","D","Pts","GF","GA","GD","top 3 (%)","fourth (%)"
"Mexico",1,1,0,3,2,0,1,7,4,2,2,84.3,8.3
"Canada",2,3,1,3,1,0,2,5,5,2,3,49,17.2
"United States",3,5,2,3,1,0,2,5,5,2,3,72.9,11.7
"Panama",4,2,-2,3,1,0,2,5,4,1,3,35.6,15.8
"Costa Rica",5,7,2,3,0,1,2,2,1,2,-1,26.7,16.6
"Honduras",6,4,-2,3,0,1,2,2,2,5,-3,17,13.1
"El Salvador",7,6,-1,3,0,1,2,2,0,3,-3,5.1,8.2
"Jamaica",8,8,0,3,0,2,1,1,2,6,-4,9.4,9.1
